data,sku_id,regiao,estoque_fisico,demanda_media_diaria,ponto_pedido,status_estoque,dias_cobertura
2024-01-08,SKU-001,Sudeste,20,34.0,326,Crítico,0.6
2024-01-15,SKU-001,Sudeste,53,41.0,394,Crítico,1.3
2024-01-22,SKU-001,Sudeste,17,43.2,415,Crítico,0.4
2024-01-29,SKU-001,Sudeste,15,41.8,401,Crítico,0.4
2024-02-05,SKU-001,Sudeste,36,38.3,368,Crítico,0.9
2024-02-12,SKU-001,Sudeste,24,34.5,331,Crítico,0.7
2024-02-19,SKU-001,Sudeste,31,27.1,260,Crítico,1.1
2024-02-26,SKU-001,Sudeste,11,41.0,394,Crítico,0.3
2024-03-04,SKU-001,Sudeste,22,31.2,300,Crítico,0.7
2024-03-11,SKU-001,Sudeste,21,39.5,379,Crítico,0.5
2024-03-18,SKU-001,Sudeste,38,25.6,246,Crítico,1.5
2024-03-25,SKU-001,Sudeste,17,36.9,354,Crítico,0.5
2024-04-01,SKU-001,Sudeste,33,33.0,317,Crítico,1.0
2024-04-08,SKU-001,Sudeste,5,43.6,419,Crítico,0.1
2024-04-15,SKU-001,Sudeste,26,24.5,235,Crítico,1.1
2024-04-22,SKU-001,Sudeste,48,31.2,300,Crítico,1.5
2024-04-29,SKU-001,Sudeste,30,24.5,235,Crítico,1.2
2024-05-06,SKU-001,Sudeste,31,35.4,340,Crítico,0.9
2024-05-13,SKU-001,Sudeste,1,30.1,289,Crítico,0.0
2024-05-20,SKU-001,Sudeste,14,20.5,197,Crítico,0.7
2024-05-27,SKU-001,Sudeste,15,28.9,277,Crítico,0.5
2024-06-03,SKU-001,Sudeste,37,26.3,252,Crítico,1.4
2024-06-10,SKU-001,Sudeste,35,28.0,269,Crítico,1.2
2024-06-17,SKU-001,Sudeste,27,32.3,310,Crítico,0.8
2024-06-24,SKU-001,Sudeste,35,44.9,431,Crítico,0.8
2024-07-01,SKU-001,Sudeste,44,26.9,258,Crítico,1.6
2024-07-08,SKU-001,Sudeste,19,30.3,291,Crítico,0.6
2024-07-15,SKU-001,Sudeste,7,24.8,238,Crítico,0.3
2024-07-22,SKU-001,Sudeste,20,37.5,360,Crítico,0.5
2024-07-29,SKU-001,Sudeste,34,21.2,204,Crítico,1.6
2024-08-05,SKU-001,Sudeste,44,43.7,420,Crítico,1.0
2024-08-12,SKU-001,Sudeste,13,23.0,221,Crítico,0.6
2024-08-19,SKU-001,Sudeste,17,37.9,364,Crítico,0.4
2024-08-26,SKU-001,Sudeste,48,37.6,361,Crítico,1.3
2024-09-02,SKU-001,Sudeste,18,32.2,309,Crítico,0.6
2024-09-09,SKU-001,Sudeste,53,44.5,427,Crítico,1.2
2024-09-16,SKU-001,Sudeste,14,23.2,223,Crítico,0.6
2024-09-23,SKU-001,Sudeste,19,27.7,266,Crítico,0.7
2024-09-30,SKU-001,Sudeste,34,18.4,177,Crítico,1.8
2024-10-07,SKU-001,Sudeste,2,21.4,205,Crítico,0.1
2024-10-14,SKU-001,Sudeste,35,44.3,425,Crítico,0.8
2024-10-21,SKU-001,Sudeste,8,25.9,249,Crítico,0.3
2024-10-28,SKU-001,Sudeste,48,35.2,338,Crítico,1.4
2024-11-04,SKU-001,Sudeste,55,31.3,300,Crítico,1.8
2024-11-11,SKU-001,Sudeste,18,18.3,176,Crítico,1.0
2024-11-18,SKU-001,Sudeste,28,30.7,295,Crítico,0.9
2024-11-25,SKU-001,Sudeste,3,27.2,261,Crítico,0.1
2024-12-02,SKU-001,Sudeste,55,24.8,238,Crítico,2.2
2024-12-09,SKU-001,Sudeste,52,30.9,297,Crítico,1.7
2024-12-16,SKU-001,Sudeste,31,19.8,190,Crítico,1.6
2024-12-23,SKU-001,Sudeste,40,20.0,192,Crítico,2.0
2024-12-30,SKU-001,Sudeste,9,36.5,350,Crítico,0.2
2024-01-01,SKU-001,Centro-Oeste,36,22.0,211,Crítico,1.6
2024-01-08,SKU-001,Centro-Oeste,5,43.6,419,Crítico,0.1
2024-01-15,SKU-001,Centro-Oeste,7,44.8,430,Crítico,0.2
2024-01-22,SKU-001,Centro-Oeste,26,33.1,318,Crítico,0.8
2024-01-29,SKU-001,Centro-Oeste,50,34.4,330,Crítico,1.5
2024-02-05,SKU-001,Centro-Oeste,49,34.7,333,Crítico,1.4
2024-02-12,SKU-001,Centro-Oeste,28,32.1,308,Crítico,0.9
2024-02-19,SKU-001,Centro-Oeste,19,42.5,408,Crítico,0.4
2024-02-26,SKU-001,Centro-Oeste,27,41.2,396,Crítico,0.7
2024-03-04,SKU-001,Centro-Oeste,39,26.2,252,Crítico,1.5
2024-03-11,SKU-001,Centro-Oeste,47,19.6,188,Crítico,2.4
2024-03-18,SKU-001,Centro-Oeste,48,20.7,199,Crítico,2.3
2024-03-25,SKU-001,Centro-Oeste,13,23.6,227,Crítico,0.6
2024-04-01,SKU-001,Centro-Oeste,5,25.1,241,Crítico,0.2
2024-04-08,SKU-001,Centro-Oeste,11,22.2,213,Crítico,0.5
2024-04-15,SKU-001,Centro-Oeste,10,32.9,316,Crítico,0.3
2024-04-22,SKU-001,Centro-Oeste,28,18.1,174,Crítico,1.5
2024-04-29,SKU-001,Centro-Oeste,30,36.6,351,Crítico,0.8
2024-05-06,SKU-001,Centro-Oeste,14,25.9,249,Crítico,0.5
2024-05-13,SKU-001,Centro-Oeste,18,25.8,248,Crítico,0.7
2024-05-20,SKU-001,Centro-Oeste,29,37.0,355,Crítico,0.8
2024-05-27,SKU-001,Centro-Oeste,14,19.9,191,Crítico,0.7
2024-06-03,SKU-001,Centro-Oeste,50,42.9,412,Crítico,1.2
2024-06-10,SKU-001,Centro-Oeste,37,39.4,378,Crítico,0.9
2024-06-17,SKU-001,Centro-Oeste,12,35.9,345,Crítico,0.3
2024-06-24,SKU-001,Centro-Oeste,34,29.5,283,Crítico,1.2
2024-07-01,SKU-001,Centro-Oeste,9,24.1,231,Crítico,0.4
2024-07-08,SKU-001,Centro-Oeste,52,42.5,408,Crítico,1.2
2024-07-15,SKU-001,Centro-Oeste,3,21.8,209,Crítico,0.1
2024-07-22,SKU-001,Centro-Oeste,19,22.5,216,Crítico,0.8
2024-07-29,SKU-001,Centro-Oeste,52,34.1,327,Crítico,1.5
2024-08-05,SKU-001,Centro-Oeste,18,33.4,321,Crítico,0.5
2024-08-12,SKU-001,Centro-Oeste,29,29.9,287,Crítico,1.0
2024-08-19,SKU-001,Centro-Oeste,44,36.6,351,Crítico,1.2
2024-08-26,SKU-001,Centro-Oeste,17,28.9,277,Crítico,0.6
2024-09-02,SKU-001,Centro-Oeste,31,31.5,302,Crítico,1.0
2024-09-09,SKU-001,Centro-Oeste,38,29.8,286,Crítico,1.3
2024-09-16,SKU-001,Centro-Oeste,27,19.1,183,Crítico,1.4
2024-09-23,SKU-001,Centro-Oeste,38,37.8,363,Crítico,1.0
2024-09-30,SKU-001,Centro-Oeste,5,24.8,238,Crítico,0.2
2024-10-07,SKU-001,Centro-Oeste,43,24.2,232,Crítico,1.8
2024-10-14,SKU-001,Centro-Oeste,36,40.6,390,Crítico,0.9
2024-10-21,SKU-001,Centro-Oeste,1,33.9,325,Crítico,0.0
2024-10-28,SKU-001,Centro-Oeste,43,45.0,432,Crítico,1.0
2024-11-04,SKU-001,Centro-Oeste,36,40.2,386,Crítico,0.9
2024-11-11,SKU-001,Centro-Oeste,48,19.1,183,Crítico,2.5
2024-11-18,SKU-001,Centro-Oeste,33,22.7,218,Crítico,1.5
2024-11-25,SKU-001,Centro-Oeste,17,35.6,342,Crítico,0.5
2024-12-02,SKU-001,Centro-Oeste,37,22.9,220,Crítico,1.6
2024-12-09,SKU-001,Centro-Oeste,52,29.8,286,Crítico,1.7
2024-12-16,SKU-001,Centro-Oeste,5,31.3,300,Crítico,0.2
2024-12-23,SKU-001,Centro-Oeste,26,30.7,295,Crítico,0.8
2024-12-30,SKU-001,Centro-Oeste,42,27.0,259,Crítico,1.6
2024-01-01,SKU-002,Sul,10,20.8,175,Crítico,0.5
2024-01-08,SKU-002,Sul,44,26.9,226,Crítico,1.6
2024-01-15,SKU-002,Sul,42,31.4,264,Crítico,1.3
2024-01-22,SKU-002,Sul,52,43.5,365,Crítico,1.2
2024-01-29,SKU-002,Sul,2,38.5,323,Crítico,0.1
2024-02-05,SKU-002,Sul,20,30.3,255,Crítico,0.7
2024-02-12,SKU-002,Sul,7,24.8,208,Crítico,0.3
2024-02-19,SKU-002,Sul,25,44.2,371,Crítico,0.6
2024-02-26,SKU-002,Sul,52,41.4,348,Crítico,1.3
2024-03-04,SKU-002,Sul,42,44.7,375,Crítico,0.9
2024-03-11,SKU-002,Sul,29,41.5,349,Crítico,0.7
2024-03-18,SKU-002,Sul,12,29.2,245,Crítico,0.4
2024-03-25,SKU-002,Sul,39,32.0,269,Crítico,1.2
2024-04-01,SKU-002,Sul,40,38.4,323,Crítico,1.0
2024-04-08,SKU-002,Sul,3,29.9,251,Crítico,0.1
2024-04-15,SKU-002,Sul,35,23.5,197,Crítico,1.5
2024-04-22,SKU-002,Sul,18,21.5,181,Crítico,0.8
2024-04-29,SKU-002,Sul,44,29.8,250,Crítico,1.5
2024-05-06,SKU-002,Sul,1,31.1,261,Crítico,0.0
2024-05-13,SKU-002,Sul,38,44.3,372,Crítico,0.9
2024-05-20,SKU-002,Sul,45,39.6,333,Crítico,1.1
2024-05-27,SKU-002,Sul,35,22.3,187,Crítico,1.6
2024-06-03,SKU-002,Sul,26,18.4,155,Crítico,1.4
2024-06-10,SKU-002,Sul,53,20.5,172,Crítico,2.6
2024-06-17,SKU-002,Sul,29,42.6,358,Crítico,0.7
2024-06-24,SKU-002,Sul,41,43.6,366,Crítico,0.9
2024-07-01,SKU-002,Sul,31,40.5,340,Crítico,0.8
2024-07-08,SKU-002,Sul,18,43.2,363,Crítico,0.4
2024-07-15,SKU-002,Sul,17,31.7,266,Crítico,0.5
2024-07-22,SKU-002,Sul,30,29.2,245,Crítico,1.0
2024-07-29,SKU-002,Sul,15,44.5,374,Crítico,0.3
2024-08-05,SKU-002,Sul,9,30.3,255,Crítico,0.3
2024-08-12,SKU-002,Sul,38,28.4,239,Crítico,1.3
2024-08-19,SKU-002,Sul,8,31.7,266,Crítico,0.3
2024-08-26,SKU-002,Sul,17,41.3,347,Crítico,0.4
2024-09-02,SKU-002,Sul,54,38.9,327,Crítico,1.4
2024-09-09,SKU-002,Sul,50,29.2,245,Crítico,1.7
2024-09-16,SKU-002,Sul,52,31.7,266,Crítico,1.6
2024-09-23,SKU-002,Sul,46,18.1,152,Crítico,2.5
2024-09-30,SKU-002,Sul,37,26.1,219,Crítico,1.4
2024-10-07,SKU-002,Sul,42,33.7,283,Crítico,1.2
2024-10-14,SKU-002,Sul,9,31.2,262,Crítico,0.3
2024-10-21,SKU-002,Sul,30,30.1,253,Crítico,1.0
2024-10-28,SKU-002,Sul,35,27.3,229,Crítico,1.3
2024-11-04,SKU-002,Sul,24,38.6,324,Crítico,0.6
2024-11-11,SKU-002,Sul,20,30.3,255,Crítico,0.7
2024-11-18,SKU-002,Sul,44,41.5,349,Crítico,1.1
2024-11-25,SKU-002,Sul,24,24.4,205,Crítico,1.0
2024-12-02,SKU-002,Sul,49,24.3,204,Crítico,2.0
2024-12-09,SKU-002,Sul,20,29.1,244,Crítico,0.7
2024-12-16,SKU-002,Sul,45,38.1,320,Crítico,1.2
2024-12-23,SKU-002,Sul,24,42.7,359,Crítico,0.6
2024-12-30,SKU-002,Sul,42,28.4,239,Crítico,1.5
2024-01-01,SKU-002,Sudeste,41,39.4,331,Crítico,1.0
2024-01-08,SKU-002,Sudeste,31,44.5,374,Crítico,0.7
2024-01-15,SKU-002,Sudeste,8,44.1,370,Crítico,0.2
2024-01-22,SKU-002,Sudeste,37,31.6,265,Crítico,1.2
2024-01-29,SKU-002,Sudeste,6,27.0,227,Crítico,0.2
2024-02-05,SKU-002,Sudeste,28,41.6,349,Crítico,0.7
2024-02-12,SKU-002,Sudeste,29,20.7,174,Crítico,1.4
2024-02-19,SKU-002,Sudeste,9,18.4,155,Crítico,0.5
2024-02-26,SKU-002,Sudeste,41,29.1,244,Crítico,1.4
2024-03-04,SKU-002,Sudeste,4,44.2,371,Crítico,0.1
2024-03-11,SKU-002,Sudeste,16,30.7,258,Crítico,0.5
2024-03-18,SKU-002,Sudeste,44,27.1,228,Crítico,1.6
2024-03-25,SKU-002,Sudeste,5,28.7,241,Crítico,0.2
2024-04-01,SKU-002,Sudeste,54,41.0,344,Crítico,1.3
2024-04-08,SKU-002,Sudeste,34,36.2,304,Crítico,0.9
2024-04-15,SKU-002,Sudeste,20,28.3,238,Crítico,0.7
2024-04-22,SKU-002,Sudeste,48,34.9,293,Crítico,1.4
2024-04-29,SKU-002,Sudeste,34,31.2,262,Crítico,1.1
2024-05-06,SKU-002,Sudeste,4,19.0,160,Crítico,0.2
2024-05-13,SKU-002,Sudeste,43,24.3,204,Crítico,1.8
2024-05-20,SKU-002,Sudeste,14,42.9,360,Crítico,0.3
2024-05-27,SKU-002,Sudeste,27,38.2,321,Crítico,0.7
2024-06-03,SKU-002,Sudeste,48,44.4,373,Crítico,1.1
2024-06-10,SKU-002,Sudeste,55,35.1,295,Crítico,1.6
2024-06-17,SKU-002,Sudeste,10,20.7,174,Crítico,0.5
2024-06-24,SKU-002,Sudeste,1,36.7,308,Crítico,0.0
2024-07-01,SKU-002,Sudeste,50,19.2,161,Crítico,2.6
2024-07-08,SKU-002,Sudeste,22,19.5,164,Crítico,1.1
2024-07-15,SKU-002,Sudeste,9,28.1,236,Crítico,0.3
2024-07-22,SKU-002,Sudeste,26,24.6,207,Crítico,1.1
2024-07-29,SKU-002,Sudeste,50,33.3,280,Crítico,1.5
2024-08-05,SKU-002,Sudeste,11,22.9,192,Crítico,0.5
2024-08-12,SKU-002,Sudeste,55,20.1,169,Crítico,2.7
2024-08-19,SKU-002,Sudeste,43,28.3,238,Crítico,1.5
2024-08-26,SKU-002,Sudeste,37,24.5,206,Crítico,1.5
2024-09-02,SKU-002,Sudeste,29,21.9,184,Crítico,1.3
2024-09-09,SKU-002,Sudeste,29,35.2,296,Crítico,0.8
2024-09-16,SKU-002,Sudeste,0,24.9,209,Ruptura,0.0
2024-09-23,SKU-002,Sudeste,29,42.3,355,Crítico,0.7
2024-09-30,SKU-002,Sudeste,43,42.3,355,Crítico,1.0
2024-10-07,SKU-002,Sudeste,4,32.8,276,Crítico,0.1
2024-10-14,SKU-002,Sudeste,22,29.9,251,Crítico,0.7
2024-10-21,SKU-002,Sudeste,19,44.7,375,Crítico,0.4
2024-10-28,SKU-002,Sudeste,27,35.3,297,Crítico,0.8
2024-11-04,SKU-002,Sudeste,29,36.6,307,Crítico,0.8
2024-11-11,SKU-002,Sudeste,12,40.8,343,Crítico,0.3
2024-11-18,SKU-002,Sudeste,54,45.0,378,Crítico,1.2
2024-11-25,SKU-002,Sudeste,15,31.0,260,Crítico,0.5
2024-12-02,SKU-002,Sudeste,22,28.3,238,Crítico,0.8
2024-12-09,SKU-002,Sudeste,44,33.5,281,Crítico,1.3
2024-12-16,SKU-002,Sudeste,53,26.0,218,Crítico,2.0
2024-12-23,SKU-002,Sudeste,17,35.8,301,Crítico,0.5
2024-12-30,SKU-002,Sudeste,55,18.2,153,Crítico,3.0
2024-01-01,SKU-002,Centro-Oeste,47,36.5,307,Crítico,1.3
2024-01-08,SKU-002,Centro-Oeste,38,44.3,372,Crítico,0.9
2024-01-15,SKU-002,Centro-Oeste,53,38.1,320,Crítico,1.4
2024-01-22,SKU-002,Centro-Oeste,18,42.4,356,Crítico,0.4
2024-01-29,SKU-002,Centro-Oeste,14,38.9,327,Crítico,0.4
2024-02-05,SKU-002,Centro-Oeste,22,34.4,289,Crítico,0.6
2024-02-12,SKU-002,Centro-Oeste,12,23.9,201,Crítico,0.5
2024-02-19,SKU-002,Centro-Oeste,43,34.8,292,Crítico,1.2
2024-02-26,SKU-002,Centro-Oeste,49,38.4,323,Crítico,1.3
2024-03-04,SKU-002,Centro-Oeste,53,35.8,301,Crítico,1.5
2024-03-11,SKU-002,Centro-Oeste,6,21.7,182,Crítico,0.3
2024-03-18,SKU-002,Centro-Oeste,41,42.4,356,Crítico,1.0
2024-03-25,SKU-002,Centro-Oeste,50,19.1,160,Crítico,2.6
2024-04-01,SKU-002,Centro-Oeste,37,29.9,251,Crítico,1.2
2024-04-08,SKU-002,Centro-Oeste,8,27.9,234,Crítico,0.3
2024-04-15,SKU-002,Centro-Oeste,18,20.4,171,Crítico,0.9
2024-04-22,SKU-002,Centro-Oeste,26,26.8,225,Crítico,1.0
2024-04-29,SKU-002,Centro-Oeste,8,22.7,191,Crítico,0.4
2024-05-06,SKU-002,Centro-Oeste,23,39.2,329,Crítico,0.6
2024-05-13,SKU-002,Centro-Oeste,17,32.3,271,Crítico,0.5
2024-05-20,SKU-002,Centro-Oeste,16,40.4,339,Crítico,0.4
2024-05-27,SKU-002,Centro-Oeste,30,42.7,359,Crítico,0.7
2024-06-03,SKU-002,Centro-Oeste,18,44.1,370,Crítico,0.4
2024-06-10,SKU-002,Centro-Oeste,21,38.2,321,Crítico,0.5
2024-06-17,SKU-002,Centro-Oeste,29,39.7,333,Crítico,0.7
2024-06-24,SKU-002,Centro-Oeste,9,44.0,370,Crítico,0.2
2024-07-01,SKU-002,Centro-Oeste,14,38.4,323,Crítico,0.4
2024-07-08,SKU-002,Centro-Oeste,46,41.2,346,Crítico,1.1
2024-07-15,SKU-002,Centro-Oeste,25,36.2,304,Crítico,0.7
2024-07-22,SKU-002,Centro-Oeste,51,44.1,370,Crítico,1.2
2024-07-29,SKU-002,Centro-Oeste,5,33.0,277,Crítico,0.2
2024-08-05,SKU-002,Centro-Oeste,0,39.3,330,Ruptura,0.0
2024-08-12,SKU-002,Centro-Oeste,7,25.1,211,Crítico,0.3
2024-08-19,SKU-002,Centro-Oeste,43,30.3,255,Crítico,1.4
2024-08-26,SKU-002,Centro-Oeste,16,38.2,321,Crítico,0.4
2024-09-02,SKU-002,Centro-Oeste,52,33.8,284,Crítico,1.5
2024-09-09,SKU-002,Centro-Oeste,23,35.2,296,Crítico,0.7
2024-09-16,SKU-002,Centro-Oeste,14,20.9,176,Crítico,0.7
2024-09-23,SKU-002,Centro-Oeste,39,30.7,258,Crítico,1.3
2024-09-30,SKU-002,Centro-Oeste,35,41.9,352,Crítico,0.8
2024-10-07,SKU-002,Centro-Oeste,39,26.9,226,Crítico,1.4
2024-10-14,SKU-002,Centro-Oeste,4,24.0,202,Crítico,0.2
2024-10-21,SKU-002,Centro-Oeste,29,35.2,296,Crítico,0.8
2024-10-28,SKU-002,Centro-Oeste,19,42.6,358,Crítico,0.4
2024-11-04,SKU-002,Centro-Oeste,7,35.5,298,Crítico,0.2
2024-11-11,SKU-002,Centro-Oeste,2,21.8,183,Crítico,0.1
2024-11-18,SKU-002,Centro-Oeste,31,26.2,220,Crítico,1.2
2024-11-25,SKU-002,Centro-Oeste,15,21.1,177,Crítico,0.7
2024-12-02,SKU-002,Centro-Oeste,8,42.0,353,Crítico,0.2
2024-12-09,SKU-002,Centro-Oeste,23,28.5,239,Crítico,0.8
2024-12-16,SKU-002,Centro-Oeste,47,36.1,303,Crítico,1.3
2024-12-23,SKU-002,Centro-Oeste,34,36.8,309,Crítico,0.9
2024-12-30,SKU-002,Centro-Oeste,47,29.3,246,Crítico,1.6
2024-01-01,SKU-003,Sul,26,37.6,496,Crítico,0.7
2024-01-08,SKU-003,Sul,53,35.7,471,Crítico,1.5
2024-01-15,SKU-003,Sul,26,31.2,412,Crítico,0.8
2024-01-22,SKU-003,Sul,17,43.4,573,Crítico,0.4
2024-01-29,SKU-003,Sul,23,18.9,249,Crítico,1.2
2024-02-05,SKU-003,Sul,28,23.9,315,Crítico,1.2
2024-02-12,SKU-003,Sul,54,43.7,577,Crítico,1.2
2024-02-19,SKU-003,Sul,43,27.8,367,Crítico,1.5
2024-02-26,SKU-003,Sul,41,27.9,368,Crítico,1.5
2024-03-04,SKU-003,Sul,25,27.7,366,Crítico,0.9
2024-03-11,SKU-003,Sul,7,25.4,335,Crítico,0.3
2024-03-18,SKU-003,Sul,52,43.6,576,Crítico,1.2
2024-03-25,SKU-003,Sul,42,30.3,400,Crítico,1.4
2024-04-01,SKU-003,Sul,40,23.7,313,Crítico,1.7
2024-04-08,SKU-003,Sul,1,34.1,450,Crítico,0.0
2024-04-15,SKU-003,Sul,21,19.4,256,Crítico,1.1
2024-04-22,SKU-003,Sul,8,24.6,325,Crítico,0.3
2024-04-29,SKU-003,Sul,13,39.2,517,Crítico,0.3
2024-05-06,SKU-003,Sul,48,19.9,263,Crítico,2.4
2024-05-13,SKU-003,Sul,37,33.0,436,Crítico,1.1
2024-05-20,SKU-003,Sul,55,23.8,314,Crítico,2.3
2024-05-27,SKU-003,Sul,49,24.3,321,Crítico,2.0
2024-06-03,SKU-003,Sul,38,22.0,290,Crítico,1.7
2024-06-10,SKU-003,Sul,54,18.1,239,Crítico,3.0
2024-06-17,SKU-003,Sul,8,44.6,589,Crítico,0.2
2024-06-24,SKU-003,Sul,51,32.6,430,Crítico,1.6
2024-07-01,SKU-003,Sul,42,22.7,300,Crítico,1.9
2024-07-08,SKU-003,Sul,8,41.4,546,Crítico,0.2
2024-07-15,SKU-003,Sul,50,18.4,243,Crítico,2.7
2024-07-22,SKU-003,Sul,37,39.3,519,Crítico,0.9
2024-07-29,SKU-003,Sul,11,26.7,352,Crítico,0.4
2024-08-05,SKU-003,Sul,8,25.2,333,Crítico,0.3
2024-08-12,SKU-003,Sul,33,38.0,502,Crítico,0.9
2024-08-19,SKU-003,Sul,4,21.1,279,Crítico,0.2
2024-08-26,SKU-003,Sul,49,30.9,408,Crítico,1.6
2024-09-02,SKU-003,Sul,37,27.8,367,Crítico,1.3
2024-09-09,SKU-003,Sul,32,20.9,276,Crítico,1.5
2024-09-16,SKU-003,Sul,39,24.0,317,Crítico,1.6
2024-09-23,SKU-003,Sul,50,19.2,253,Crítico,2.6
2024-09-30,SKU-003,Sul,42,42.5,561,Crítico,1.0
2024-10-07,SKU-003,Sul,29,32.1,424,Crítico,0.9
2024-10-14,SKU-003,Sul,1,35.4,467,Crítico,0.0
2024-10-21,SKU-003,Sul,30,19.6,259,Crítico,1.5
2024-10-28,SKU-003,Sul,27,40.9,540,Crítico,0.7
2024-11-04,SKU-003,Sul,31,36.5,482,Crítico,0.8
2024-11-11,SKU-003,Sul,28,37.2,491,Crítico,0.8
2024-11-18,SKU-003,Sul,5,20.0,264,Crítico,0.2
2024-11-25,SKU-003,Sul,9,26.7,352,Crítico,0.3
2024-12-02,SKU-003,Sul,17,19.8,261,Crítico,0.9
2024-12-09,SKU-003,Sul,37,34.9,461,Crítico,1.1
2024-12-16,SKU-003,Sul,20,32.8,433,Crítico,0.6
2024-12-23,SKU-003,Sul,38,28.3,374,Crítico,1.3
2024-12-30,SKU-003,Sul,29,32.3,426,Crítico,0.9
2024-01-01,SKU-003,Sudeste,27,31.6,417,Crítico,0.9
2024-01-08,SKU-003,Sudeste,44,20.7,273,Crítico,2.1
2024-01-15,SKU-003,Sudeste,41,21.1,279,Crítico,1.9
2024-01-22,SKU-003,Sudeste,49,35.6,470,Crítico,1.4
2024-01-29,SKU-003,Sudeste,55,32.9,434,Crítico,1.7
2024-02-05,SKU-003,Sudeste,28,23.8,314,Crítico,1.2
2024-02-12,SKU-003,Sudeste,26,42.0,554,Crítico,0.6
2024-02-19,SKU-003,Sudeste,29,27.2,359,Crítico,1.1
2024-02-26,SKU-003,Sudeste,46,28.8,380,Crítico,1.6
2024-03-04,SKU-003,Sudeste,27,20.6,272,Crítico,1.3
2024-03-11,SKU-003,Sudeste,16,26.4,348,Crítico,0.6
2024-03-18,SKU-003,Sudeste,9,28.1,371,Crítico,0.3
2024-03-25,SKU-003,Sudeste,30,36.5,482,Crítico,0.8
2024-04-01,SKU-003,Sudeste,53,19.8,261,Crítico,2.7
