data_venda,sku_id,regiao,qtd_vendida,qtd_perdida_ruptura,receita_realizada,receita_perdida,canal
2024-12-01,SKU-002,Sudeste,393,116,21654.3,6391.6,Supermercado
2024-01-01,SKU-002,Centro-Oeste,463,104,25511.3,5730.4,Farmácia
2024-02-01,SKU-002,Centro-Oeste,487,124,26833.7,6832.4,Atacado
2024-03-01,SKU-002,Centro-Oeste,337,87,18568.7,4793.7,Farmácia
2024-04-01,SKU-002,Centro-Oeste,462,139,25456.2,7658.9,Farmácia
2024-05-01,SKU-002,Centro-Oeste,400,169,22040.0,9311.9,Farmácia
2024-06-01,SKU-002,Centro-Oeste,312,41,17191.2,2259.1,Supermercado
2024-07-01,SKU-002,Centro-Oeste,559,51,30800.9,2810.1,Atacado
2024-08-01,SKU-002,Centro-Oeste,449,119,24739.9,6556.9,Farmácia
2024-09-01,SKU-002,Centro-Oeste,598,114,32949.8,6281.4,Supermercado
2024-10-01,SKU-002,Centro-Oeste,498,40,27439.8,2204.0,Supermercado
2024-11-01,SKU-002,Centro-Oeste,580,55,31958.0,3030.5,Supermercado
2024-12-01,SKU-002,Centro-Oeste,524,143,28872.4,7879.3,Farmácia
2024-01-01,SKU-003,Sul,505,110,8514.3,1854.6,Supermercado
2024-02-01,SKU-003,Sul,500,71,8430.0,1197.06,Supermercado
2024-03-01,SKU-003,Sul,321,149,5412.06,2512.14,Atacado
2024-04-01,SKU-003,Sul,375,85,6322.5,1433.1,Farmácia
2024-05-01,SKU-003,Sul,453,51,7637.58,859.86,Farmácia
2024-06-01,SKU-003,Sul,574,143,9677.64,2410.98,Farmácia
2024-07-01,SKU-003,Sul,440,129,7418.4,2174.94,Atacado
2024-08-01,SKU-003,Sul,489,168,8244.54,2832.48,Atacado
2024-09-01,SKU-003,Sul,315,51,5310.9,859.86,Atacado
2024-10-01,SKU-003,Sul,434,71,7317.24,1197.06,Farmácia
2024-11-01,SKU-003,Sul,546,96,9205.56,1618.56,Supermercado
2024-12-01,SKU-003,Sul,390,135,6575.4,2276.1,Farmácia
2024-01-01,SKU-003,Sudeste,558,146,9407.88,2461.56,Farmácia
2024-02-01,SKU-003,Sudeste,618,142,10419.48,2394.12,Atacado
2024-03-01,SKU-003,Sudeste,331,97,5580.66,1635.42,Farmácia
2024-04-01,SKU-003,Sudeste,440,120,7418.4,2023.2,Atacado
2024-05-01,SKU-003,Sudeste,280,46,4720.8,775.56,Atacado
2024-06-01,SKU-003,Sudeste,580,126,9778.8,2124.36,Farmácia
2024-07-01,SKU-003,Sudeste,378,172,6373.08,2899.92,Supermercado
2024-08-01,SKU-003,Sudeste,334,47,5631.24,792.42,Farmácia
2024-09-01,SKU-003,Sudeste,374,115,6305.64,1938.9,Farmácia
2024-10-01,SKU-003,Sudeste,518,64,8733.48,1079.04,Supermercado
2024-11-01,SKU-003,Sudeste,327,135,5513.22,2276.1,Atacado
2024-12-01,SKU-003,Sudeste,308,138,5192.88,2326.68,Atacado
2024-01-01,SKU-003,Centro-Oeste,614,63,10352.04,1062.18,Atacado
2024-02-01,SKU-003,Centro-Oeste,431,69,7266.66,1163.34,Atacado
2024-03-01,SKU-003,Centro-Oeste,485,135,8177.1,2276.1,Farmácia
2024-04-01,SKU-003,Centro-Oeste,462,126,7789.32,2124.36,Farmácia
2024-05-01,SKU-003,Centro-Oeste,574,64,9677.64,1079.04,Farmácia
2024-06-01,SKU-003,Centro-Oeste,583,96,9829.38,1618.56,Atacado
2024-07-01,SKU-003,Centro-Oeste,490,176,8261.4,2967.36,Atacado
2024-08-01,SKU-003,Centro-Oeste,321,168,5412.06,2832.48,Supermercado
2024-09-01,SKU-003,Centro-Oeste,618,166,10419.48,2798.76,Supermercado
2024-10-01,SKU-003,Centro-Oeste,527,41,8885.22,691.26,Farmácia
2024-11-01,SKU-003,Centro-Oeste,285,119,4805.1,2006.34,Atacado
2024-12-01,SKU-003,Centro-Oeste,355,92,5985.3,1551.12,Atacado
2024-01-01,SKU-004,Sul,363,133,20161.02,7386.82,Atacado
2024-02-01,SKU-004,Sul,531,65,29491.74,3610.1,Farmácia
2024-03-01,SKU-004,Sul,496,61,27547.84,3387.94,Atacado
2024-04-01,SKU-004,Sul,582,96,32324.28,5331.84,Farmácia
2024-05-01,SKU-004,Sul,351,59,19494.54,3276.86,Farmácia
2024-06-01,SKU-004,Sul,423,130,23493.42,7220.2,Farmácia
2024-07-01,SKU-004,Sul,349,50,19383.46,2777.0,Farmácia
2024-08-01,SKU-004,Sul,415,50,23049.1,2777.0,Atacado
2024-09-01,SKU-004,Sul,306,94,16995.24,5220.76,Atacado
2024-10-01,SKU-004,Sul,317,160,17606.18,8886.4,Supermercado
2024-11-01,SKU-004,Sul,465,173,25826.1,9608.42,Supermercado
2024-12-01,SKU-004,Sul,458,138,25437.32,7664.52,Atacado
2024-01-01,SKU-004,Sudeste,509,105,28269.86,5831.7,Farmácia
2024-02-01,SKU-004,Sudeste,283,139,15717.82,7720.06,Atacado
2024-03-01,SKU-004,Sudeste,334,57,18550.36,3165.78,Supermercado
2024-04-01,SKU-004,Sudeste,372,146,20660.88,8108.84,Atacado
2024-05-01,SKU-004,Sudeste,347,48,19272.38,2665.92,Atacado
2024-06-01,SKU-004,Sudeste,397,55,22049.38,3054.7,Atacado
2024-07-01,SKU-004,Sudeste,583,134,32379.82,7442.36,Supermercado
2024-08-01,SKU-004,Sudeste,499,121,27714.46,6720.34,Farmácia
2024-09-01,SKU-004,Sudeste,327,83,18161.58,4609.82,Supermercado
2024-10-01,SKU-004,Sudeste,340,150,18883.6,8331.0,Farmácia
2024-11-01,SKU-004,Sudeste,609,56,33823.86,3110.24,Farmácia
2024-12-01,SKU-004,Sudeste,321,71,17828.34,3943.34,Atacado
2024-01-01,SKU-004,Centro-Oeste,347,98,19272.38,5442.92,Atacado
2024-02-01,SKU-004,Centro-Oeste,594,96,32990.76,5331.84,Atacado
2024-03-01,SKU-004,Centro-Oeste,310,86,17217.4,4776.44,Farmácia
2024-04-01,SKU-004,Centro-Oeste,462,170,25659.48,9441.8,Supermercado
2024-05-01,SKU-004,Centro-Oeste,577,74,32046.58,4109.96,Supermercado
2024-06-01,SKU-004,Centro-Oeste,499,78,27714.46,4332.12,Farmácia
2024-07-01,SKU-004,Centro-Oeste,338,112,18772.52,6220.48,Farmácia
2024-08-01,SKU-004,Centro-Oeste,454,150,25215.16,8331.0,Atacado
2024-09-01,SKU-004,Centro-Oeste,616,169,34212.64,9386.26,Atacado
2024-10-01,SKU-004,Centro-Oeste,589,66,32713.06,3665.64,Atacado
2024-11-01,SKU-004,Centro-Oeste,578,139,32102.12,7720.06,Farmácia
2024-12-01,SKU-004,Centro-Oeste,335,143,18605.9,7942.22,Atacado
2024-01-01,SKU-005,Sul,304,113,16172.8,6011.6,Atacado
2024-02-01,SKU-005,Sul,295,128,15694.0,6809.6,Supermercado
2024-03-01,SKU-005,Sul,325,56,17290.0,2979.2,Farmácia
2024-04-01,SKU-005,Sul,305,95,16226.0,5054.0,Farmácia
2024-05-01,SKU-005,Sul,283,172,15055.6,9150.4,Supermercado
2024-06-01,SKU-005,Sul,487,110,25908.4,5852.0,Farmácia
2024-07-01,SKU-005,Sul,565,43,30058.0,2287.6,Farmácia
2024-08-01,SKU-005,Sul,410,144,21812.0,7660.8,Supermercado
2024-09-01,SKU-005,Sul,557,59,29632.4,3138.8,Farmácia
2024-10-01,SKU-005,Sul,592,167,31494.4,8884.4,Atacado
2024-11-01,SKU-005,Sul,411,49,21865.2,2606.8,Farmácia
2024-12-01,SKU-005,Sul,400,109,21280.0,5798.8,Atacado
2024-01-01,SKU-005,Sudeste,568,123,30217.6,6543.6,Supermercado
2024-02-01,SKU-005,Sudeste,423,130,22503.6,6916.0,Supermercado
2024-03-01,SKU-005,Sudeste,486,42,25855.2,2234.4,Farmácia
2024-04-01,SKU-005,Sudeste,450,168,23940.0,8937.6,Atacado
2024-05-01,SKU-005,Sudeste,491,73,26121.2,3883.6,Farmácia
2024-06-01,SKU-005,Sudeste,513,107,27291.6,5692.4,Atacado
2024-07-01,SKU-005,Sudeste,483,150,25695.6,7980.0,Supermercado
2024-08-01,SKU-005,Sudeste,565,96,30058.0,5107.2,Atacado
2024-09-01,SKU-005,Sudeste,596,179,31707.2,9522.8,Atacado
2024-10-01,SKU-005,Sudeste,572,50,30430.4,2660.0,Supermercado
2024-11-01,SKU-005,Sudeste,412,76,21918.4,4043.2,Supermercado
2024-12-01,SKU-005,Sudeste,420,60,22344.0,3192.0,Atacado
2024-01-01,SKU-005,Centro-Oeste,353,44,18779.6,2340.8,Supermercado
2024-02-01,SKU-005,Centro-Oeste,597,131,31760.4,6969.2,Supermercado
2024-03-01,SKU-005,Centro-Oeste,613,153,32611.6,8139.6,Supermercado
2024-04-01,SKU-005,Centro-Oeste,371,120,19737.2,6384.0,Supermercado
2024-05-01,SKU-005,Centro-Oeste,601,176,31973.2,9363.2,Farmácia
2024-06-01,SKU-005,Centro-Oeste,512,143,27238.4,7607.6,Supermercado
2024-07-01,SKU-005,Centro-Oeste,589,61,31334.8,3245.2,Supermercado
2024-08-01,SKU-005,Centro-Oeste,456,89,24259.2,4734.8,Atacado
2024-09-01,SKU-005,Centro-Oeste,329,140,17502.8,7448.0,Farmácia
2024-10-01,SKU-005,Centro-Oeste,533,75,28355.6,3990.0,Supermercado
2024-11-01,SKU-005,Centro-Oeste,602,142,32026.4,7554.4,Atacado
2024-12-01,SKU-005,Centro-Oeste,520,115,27664.0,6118.0,Farmácia
2024-01-01,SKU-006,Sul,472,172,10950.4,3990.4,Atacado
2024-02-01,SKU-006,Sul,578,43,13409.6,997.6,Supermercado
2024-03-01,SKU-006,Sul,478,73,11089.6,1693.6,Farmácia
2024-04-01,SKU-006,Sul,508,139,11785.6,3224.8,Atacado
2024-05-01,SKU-006,Sul,341,139,7911.2,3224.8,Farmácia
2024-06-01,SKU-006,Sul,350,178,8120.0,4129.6,Supermercado
2024-07-01,SKU-006,Sul,502,42,11646.4,974.4,Supermercado
2024-08-01,SKU-006,Sul,437,173,10138.4,4013.6,Farmácia
2024-09-01,SKU-006,Sul,418,142,9697.6,3294.4,Farmácia
2024-10-01,SKU-006,Sul,584,145,13548.8,3364.0,Atacado
2024-11-01,SKU-006,Sul,613,51,14221.6,1183.2,Supermercado
2024-12-01,SKU-006,Sul,482,134,11182.4,3108.8,Farmácia
2024-01-01,SKU-006,Sudeste,360,167,8352.0,3874.4,Supermercado
2024-02-01,SKU-006,Sudeste,531,115,12319.2,2668.0,Atacado
2024-03-01,SKU-006,Sudeste,360,56,8352.0,1299.2,Farmácia
2024-04-01,SKU-006,Sudeste,534,73,12388.8,1693.6,Supermercado
2024-05-01,SKU-006,Sudeste,324,77,7516.8,1786.4,Farmácia
2024-06-01,SKU-006,Sudeste,355,110,8236.0,2552.0,Supermercado
2024-07-01,SKU-006,Sudeste,383,127,8885.6,2946.4,Farmácia
2024-08-01,SKU-006,Sudeste,454,139,10532.8,3224.8,Farmácia
2024-09-01,SKU-006,Sudeste,280,173,6496.0,4013.6,Farmácia
2024-10-01,SKU-006,Sudeste,547,119,12690.4,2760.8,Supermercado
2024-11-01,SKU-006,Sudeste,479,56,11112.8,1299.2,Atacado
2024-12-01,SKU-006,Sudeste,372,67,8630.4,1554.4,Supermercado
2024-01-01,SKU-006,Centro-Oeste,308,126,7145.6,2923.2,Supermercado
2024-02-01,SKU-006,Centro-Oeste,284,132,6588.8,3062.4,Farmácia
2024-03-01,SKU-006,Centro-Oeste,396,124,9187.2,2876.8,Atacado
2024-04-01,SKU-006,Centro-Oeste,324,88,7516.8,2041.6,Farmácia
2024-05-01,SKU-006,Centro-Oeste,340,171,7888.0,3967.2,Atacado
2024-06-01,SKU-006,Centro-Oeste,470,145,10904.0,3364.0,Supermercado
2024-07-01,SKU-006,Centro-Oeste,448,98,10393.6,2273.6,Farmácia
2024-08-01,SKU-006,Centro-Oeste,619,78,14360.8,1809.6,Supermercado
2024-09-01,SKU-006,Centro-Oeste,356,72,8259.2,1670.4,Farmácia
2024-10-01,SKU-006,Centro-Oeste,343,41,7957.6,951.2,Atacado
2024-11-01,SKU-006,Centro-Oeste,323,77,7493.6,1786.4,Atacado
2024-12-01,SKU-006,Centro-Oeste,418,106,9697.6,2459.2,Atacado
2024-01-01,SKU-007,Sul,395,67,7568.2,1283.72,Atacado
2024-02-01,SKU-007,Sul,608,59,11649.28,1130.44,Supermercado
2024-03-01,SKU-007,Sul,295,177,5652.2,3391.32,Supermercado
2024-04-01,SKU-007,Sul,542,96,10384.72,1839.36,Supermercado
2024-05-01,SKU-007,Sul,380,159,7280.8,3046.44,Supermercado
2024-06-01,SKU-007,Sul,582,179,11151.12,3429.64,Supermercado
2024-07-01,SKU-007,Sul,435,51,8334.6,977.16,Farmácia
2024-08-01,SKU-007,Sul,329,69,6303.64,1322.04,Farmácia
2024-09-01,SKU-007,Sul,551,77,10557.16,1475.32,Supermercado
2024-10-01,SKU-007,Sul,327,95,6265.32,1820.2,Farmácia
2024-11-01,SKU-007,Sul,598,172,11457.68,3295.52,Supermercado
2024-12-01,SKU-007,Sul,537,67,10288.92,1283.72,Farmácia
2024-01-01,SKU-007,Sudeste,287,50,5498.92,958.0,Atacado
2024-02-01,SKU-007,Sudeste,570,138,10921.2,2644.08,Atacado
2024-03-01,SKU-007,Sudeste,439,81,8411.24,1551.96,Farmácia
2024-04-01,SKU-007,Sudeste,456,158,8736.96,3027.28,Supermercado
2024-05-01,SKU-007,Sudeste,595,151,11400.2,2893.16,Atacado
2024-06-01,SKU-007,Sudeste,450,132,8622.0,2529.12,Farmácia
2024-07-01,SKU-007,Sudeste,522,155,10001.52,2969.8,Atacado
2024-08-01,SKU-007,Sudeste,457,72,8756.12,1379.52,Supermercado
2024-09-01,SKU-007,Sudeste,389,116,7453.24,2222.56,Supermercado
2024-10-01,SKU-007,Sudeste,547,176,10480.52,3372.16,Atacado
2024-11-01,SKU-007,Sudeste,380,166,7280.8,3180.56,Farmácia
2024-12-01,SKU-007,Sudeste,356,120,6820.96,2299.2,Atacado
2024-01-01,SKU-007,Centro-Oeste,431,87,8257.96,1666.92,Supermercado
2024-02-01,SKU-007,Centro-Oeste,607,122,11630.12,2337.52,Farmácia
2024-03-01,SKU-007,Centro-Oeste,447,69,8564.52,1322.04,Farmácia
2024-04-01,SKU-007,Centro-Oeste,518,174,9924.88,3333.84,Farmácia
2024-05-01,SKU-007,Centro-Oeste,565,87,10825.4,1666.92,Atacado
2024-06-01,SKU-007,Centro-Oeste,292,124,5594.72,2375.84,Atacado
2024-07-01,SKU-007,Centro-Oeste,407,104,7798.12,1992.64,Farmácia
2024-08-01,SKU-007,Centro-Oeste,467,98,8947.72,1877.68,Supermercado
2024-09-01,SKU-007,Centro-Oeste,549,87,10518.84,1666.92,Atacado
2024-10-01,SKU-007,Centro-Oeste,521,80,9982.36,1532.8,Atacado
2024-11-01,SKU-007,Centro-Oeste,414,152,7932.24,2912.32,Farmácia
2024-12-01,SKU-007,Centro-Oeste,522,151,10001.52,2893.16,Supermercado
2024-01-01,SKU-008,Sul,473,51,25839.99,2786.13,Supermercado
2024-02-01,SKU-008,Sul,345,178,18847.35,9724.14,Atacado
2024-03-01,SKU-008,Sul,533,116,29117.79,6337.08,Atacado
2024-04-01,SKU-008,Sul,536,154,29281.68,8413.02,Supermercado
2024-05-01,SKU-008,Sul,620,73,33870.6,3987.99,Farmácia
2024-06-01,SKU-008,Sul,600,160,32778.0,8740.8,Farmácia
2024-07-01,SKU-008,Sul,386,58,21087.18,3168.54,Supermercado
2024-08-01,SKU-008,Sul,390,139,21305.7,7593.57,Atacado
2024-09-01,SKU-008,Sul,464,88,25348.32,4807.44,Atacado
2024-10-01,SKU-008,Sul,470,74,25676.1,4042.62,Farmácia
2024-11-01,SKU-008,Sul,345,64,18847.35,3496.32,Supermercado
2024-12-01,SKU-008,Sul,615,48,33597.45,2622.24,Atacado
2024-01-01,SKU-008,Sudeste,431,61,23545.53,3332.43,Supermercado
2024-02-01,SKU-008,Sudeste,414,96,22616.82,5244.48,Supermercado
2024-03-01,SKU-008,Sudeste,605,71,33051.15,3878.73,Farmácia
2024-04-01,SKU-008,Sudeste,478,60,26113.14,3277.8,Farmácia
2024-05-01,SKU-008,Sudeste,426,131,23272.38,7156.53,Supermercado
2024-06-01,SKU-008,Sudeste,582,137,31794.66,7484.31,Farmácia
2024-07-01,SKU-008,Sudeste,460,158,25129.8,8631.54,Supermercado
2024-08-01,SKU-008,Sudeste,418,92,22835.34,5025.96,Supermercado
2024-09-01,SKU-008,Sudeste,315,162,17208.45,8850.06,Farmácia
2024-10-01,SKU-008,Sudeste,342,132,18683.46,7211.16,Farmácia
2024-11-01,SKU-008,Sudeste,396,102,21633.48,5572.26,Farmácia
2024-12-01,SKU-008,Sudeste,577,155,31521.51,8467.65,Supermercado
2024-01-01,SKU-008,Centro-Oeste,598,150,32668.74,8194.5,Farmácia
2024-02-01,SKU-008,Centro-Oeste,519,47,28352.97,2567.61,Atacado
2024-03-01,SKU-008,Centro-Oeste,292,51,15951.96,2786.13,Farmácia
2024-04-01,SKU-008,Centro-Oeste,385,117,21032.55,6391.71,Atacado
2024-05-01,SKU-008,Centro-Oeste,430,117,23490.9,6391.71,Farmácia
2024-06-01,SKU-008,Centro-Oeste,587,167,32067.81,9123.21,Atacado
2024-07-01,SKU-008,Centro-Oeste,557,131,30428.91,7156.53,Supermercado
2024-08-01,SKU-008,Centro-Oeste,491,57,26823.33,3113.91,Atacado
2024-09-01,SKU-008,Centro-Oeste,551,174,30101.13,9505.62,Atacado
2024-10-01,SKU-008,Centro-Oeste,327,161,17864.01,8795.43,Atacado
2024-11-01,SKU-008,Centro-Oeste,486,53,26550.18,2895.39,Atacado
2024-12-01,SKU-008,Centro-Oeste,346,69,18901.98,3769.47,Atacado
2024-01-01,SKU-009,Sul,573,79,35153.55,4846.65,Supermercado
2024-02-01,SKU-009,Sul,590,105,36196.5,6441.75,Supermercado
2024-03-01,SKU-009,Sul,513,151,31472.55,9263.85,Farmácia
2024-04-01,SKU-009,Sul,543,72,33313.05,4417.2,Farmácia
2024-05-01,SKU-009,Sul,427,51,26196.45,3128.85,Supermercado
2024-06-01,SKU-009,Sul,389,70,23865.15,4294.5,Farmácia
2024-07-01,SKU-009,Sul,365,87,22392.75,5337.45,Farmácia
2024-08-01,SKU-009,Sul,588,122,36073.8,7484.7,Farmácia
2024-09-01,SKU-009,Sul,565,50,34662.75,3067.5,Supermercado
2024-10-01,SKU-009,Sul,287,114,17607.45,6993.9,Supermercado
2024-11-01,SKU-009,Sul,385,70,23619.75,4294.5,Supermercado
2024-12-01,SKU-009,Sul,548,95,33619.8,5828.25,Supermercado
2024-01-01,SKU-009,Sudeste,564,158,34601.4,9693.3,Supermercado
2024-02-01,SKU-009,Sudeste,515,160,31595.25,9816.0,Supermercado
2024-03-01,SKU-009,Sudeste,534,105,32760.9,6441.75,Atacado
2024-04-01,SKU-009,Sudeste,515,44,31595.25,2699.4,Farmácia
2024-05-01,SKU-009,Sudeste,486,138,29816.1,8466.3,Farmácia
2024-06-01,SKU-009,Sudeste,460,142,28221.0,8711.7,Supermercado
2024-07-01,SKU-009,Sudeste,281,155,17239.35,9509.25,Farmácia
2024-08-01,SKU-009,Sudeste,351,81,21533.85,4969.35,Supermercado
2024-09-01,SKU-009,Sudeste,359,70,22024.65,4294.5,Atacado
2024-10-01,SKU-009,Sudeste,610,177,37423.5,10858.95,Farmácia
2024-11-01,SKU-009,Sudeste,341,94,20920.35,5766.9,Farmácia
2024-12-01,SKU-009,Sudeste,492,177,30184.2,10858.95,Atacado
2024-01-01,SKU-009,Centro-Oeste,526,106,32270.1,6503.1,Farmácia
2024-02-01,SKU-009,Centro-Oeste,348,149,21349.8,9141.15,Supermercado
2024-03-01,SKU-009,Centro-Oeste,390,92,23926.5,5644.2,Supermercado
2024-04-01,SKU-009,Centro-Oeste,285,116,17484.75,7116.6,Farmácia
2024-05-01,SKU-009,Centro-Oeste,464,150,28466.4,9202.5,Atacado
2024-06-01,SKU-009,Centro-Oeste,365,49,22392.75,3006.15,Atacado
2024-07-01,SKU-009,Centro-Oeste,485,141,29754.75,8650.35,Supermercado
2024-08-01,SKU-009,Centro-Oeste,419,179,25705.65,10981.65,Farmácia
2024-09-01,SKU-009,Centro-Oeste,398,64,24417.3,3926.4,Supermercado
2024-10-01,SKU-009,Centro-Oeste,383,104,23497.05,6380.4,Farmácia
2024-11-01,SKU-009,Centro-Oeste,415,92,25460.25,5644.2,Atacado
2024-12-01,SKU-009,Centro-Oeste,546,110,33497.1,6748.5,Supermercado
2024-01-01,SKU-010,Sul,567,63,8074.08,897.12,Atacado
2024-02-01,SKU-010,Sul,546,119,7775.04,1694.56,Farmácia
2024-03-01,SKU-010,Sul,459,65,6536.16,925.6,Supermercado
2024-04-01,SKU-010,Sul,413,86,5881.12,1224.64,Farmácia
2024-05-01,SKU-010,Sul,294,139,4186.56,1979.36,Farmácia
2024-06-01,SKU-010,Sul,400,159,5696.0,2264.16,Atacado
2024-07-01,SKU-010,Sul,325,161,4628.0,2292.64,Atacado
2024-08-01,SKU-010,Sul,289,118,4115.36,1680.32,Atacado
2024-09-01,SKU-010,Sul,395,136,5624.8,1936.64,Atacado
2024-10-01,SKU-010,Sul,600,175,8544.0,2492.0,Supermercado
2024-11-01,SKU-010,Sul,322,145,4585.28,2064.8,Farmácia
2024-12-01,SKU-010,Sul,453,129,6450.72,1836.96,Atacado
2024-01-01,SKU-010,Sudeste,562,135,8002.88,1922.4,Supermercado
2024-02-01,SKU-010,Sudeste,412,82,5866.88,1167.68,Atacado
2024-03-01,SKU-010,Sudeste,598,103,8515.52,1466.72,Farmácia
2024-04-01,SKU-010,Sudeste,573,90,8159.52,1281.6,Supermercado
2024-05-01,SKU-010,Sudeste,386,144,5496.64,2050.56,Farmácia
2024-06-01,SKU-010,Sudeste,481,126,6849.44,1794.24,Farmácia
2024-07-01,SKU-010,Sudeste,534,85,7604.16,1210.4,Atacado
2024-08-01,SKU-010,Sudeste,484,158,6892.16,2249.92,Supermercado
2024-09-01,SKU-010,Sudeste,546,166,7775.04,2363.84,Supermercado
2024-10-01,SKU-010,Sudeste,529,133,7532.96,1893.92,Supermercado
2024-11-01,SKU-010,Sudeste,387,132,5510.88,1879.68,Atacado
2024-12-01,SKU-010,Sudeste,497,58,7077.28,825.92,Atacado
2024-01-01,SKU-010,Centro-Oeste,438,62,6237.12,882.88,Farmácia
2024-02-01,SKU-010,Centro-Oeste,411,58,5852.64,825.92,Supermercado
2024-03-01,SKU-010,Centro-Oeste,457,96,6507.68,1367.04,Atacado
2024-04-01,SKU-010,Centro-Oeste,292,180,4158.08,2563.2,Atacado
2024-05-01,SKU-010,Centro-Oeste,558,116,7945.92,1651.84,Atacado
2024-06-01,SKU-010,Centro-Oeste,501,165,7134.24,2349.6,Farmácia
2024-07-01,SKU-010,Centro-Oeste,378,91,5382.72,1295.84,Farmácia
2024-08-01,SKU-010,Centro-Oeste,590,43,8401.6,612.32,Atacado
2024-09-01,SKU-010,Centro-Oeste,530,143,7547.2,2036.32,Atacado
